Names,		Rules,		Units,		Short,		Long
Avail,		,		,		Available,
Set,		,		,		Setpoint,
Spill,		,		,		Spill,
PPa,		,		,		Power Purchase Agreement,
Project,	,		,		Project,
Fin,		,		,		Finance,
Tgt,		,		,		Target,
Debt,		,		,		Debt,
Rate,		,		,		Rate,
Leverage,	,		,		Leverage,
Fixed,		,		,		Fixed,
Cpi,		,		,		Consumer Price Index,
Opex,		,		,		Operational Expenditure,
Capex,		,		,		Capital Expenditure,
Labour,		,		,		Labour,
Exp,		,		,		Export,
Imp,		,		,		Import,
