Name,Units,Short,Long
EssImpSh,kVAh,Energy Storage System Import Apparent Power Hours,
EssP,kW,Energy Storage System Active Power,
EssPf,pf,Energy Storage System Power Factor,
EssQh,kvarh,Energy Storage System Reactive Power Hours,
EssS,kVA,Energy Storage System Apparent Power,
EssSh,kVAh,Energy Storage System Apparent Power Hours,
EssU,V,Energy Storage System Average Phase to Phase Voltage,
EssU12,V,Energy Storage System Phase 1 to 2 Voltage,
EssU1n,V,Energy Storage System Phase 1 to N Voltage,
EssU23,V,Energy Storage System Phase 2 to 3 Voltage,
EssU2n,V,Energy Storage System Phase 2 to N Voltage,
EssU31,V,Energy Storage System Phase 3 to 1 Voltage,
EssU3n,V,Energy Storage System Phase 3 to N Voltage,
EssUn,V,Energy Storage System Average Phase to Neutral Voltage,
Fed1E,kWh,Fed1 Energy,
Fed1ExpE,kWh,Fed1 Export Energy,
Fed1ExpP,kW,Fed1 Export Active Power,
Fed1ExpQh,kvarh,Fed1 Export Reactive Power Hours,
Fed1ExpS,kVA,Fed1 Export Apparent Power,
Fed1ExpSh,kVAh,Fed1 Export Apparent Power Hours,
Fed1I2,A,Fed1 Phase 2 Current,
Fed1I3,A,Fed1 Phase 3 Current,
Fed1ImpE,kWh,Fed1 Import Energy,
Fed1ImpP,kW,Fed1 Import Active Power,
Fed1ImpQh,kvarh,Fed1 Import Reactive Power Hours,
Fed1ImpS,kVA,Fed1 Import Apparent Power,
Fed1ImpSh,kVAh,Fed1 Import Apparent Power Hours,
Fed1P,kW,Fed1 Active Power,
Fed1Pf,pf,Fed1 Power Factor,
Fed1Qh,kvarh,Fed1 Reactive Power Hours,
Fed1S,kVA,Fed1 Apparent Power,
Fed1Sh,kVAh,Fed1 Apparent Power Hours,
Fed1U,V,Fed1 Average Phase to Phase Voltage,
Fed1U12,V,Fed1 Phase 1 to 2 Voltage,
Fed1U1n,V,Fed1 Phase 1 to N Voltage,
Fed1U23,V,Fed1 Phase 2 to 3 Voltage,
Fed1U2n,V,Fed1 Phase 2 to N Voltage,
Fed1U31,V,Fed1 Phase 3 to 1 Voltage,
Fed1U3n,V,Fed1 Phase 3 to N Voltage,
Fed1Un,V,Fed1 Average Phase to Neutral Voltage,
Fed2E,kWh,Fed2 Energy,
Fed2ExpE,kWh,Fed2 Export Energy,
Fed2ExpP,kW,Fed2 Export Active Power,
Fed2ExpQh,kvarh,Fed2 Export Reactive Power Hours,
Fed2ExpS,kVA,Fed2 Export Apparent Power,
Fed2ExpSh,kVAh,Fed2 Export Apparent Power Hours,
Fed2I2,A,Fed2 Phase 2 Current,
Fed2I3,A,Fed2 Phase 3 Current,
Fed2ImpE,kWh,Fed2 Import Energy,
Fed2ImpP,kW,Fed2 Import Active Power,
Fed2ImpQh,kvarh,Fed2 Import Reactive Power Hours,
Fed2ImpS,kVA,Fed2 Import Apparent Power,
Fed2ImpSh,kVAh,Fed2 Import Apparent Power Hours,
Fed2P,kW,Fed2 Active Power,
Fed2Pf,pf,Fed2 Power Factor,
Fed2Qh,kvarh,Fed2 Reactive Power Hours,
Fed2S,kVA,Fed2 Apparent Power,
Fed2Sh,kVAh,Fed2 Apparent Power Hours,
Fed2U,V,Fed2 Average Phase to Phase Voltage,
Fed2U12,V,Fed2 Phase 1 to 2 Voltage,
Fed2U1n,V,Fed2 Phase 1 to N Voltage,
Fed2U23,V,Fed2 Phase 2 to 3 Voltage,
Fed2U2n,V,Fed2 Phase 2 to N Voltage,
Fed2U31,V,Fed2 Phase 3 to 1 Voltage,
Fed2U3n,V,Fed2 Phase 3 to N Voltage,
Fed2Un,V,Fed2 Average Phase to Neutral Voltage,
Fed3E,kWh,Fed3 Energy,
Fed3ExpE,kWh,Fed3 Export Energy,
Fed3ExpP,kW,Fed3 Export Active Power,
Fed3ExpQh,kvarh,Fed3 Export Reactive Power Hours,
Fed3ExpS,kVA,Fed3 Export Apparent Power,
Fed3ExpSh,kVAh,Fed3 Export Apparent Power Hours,
Fed3I2,A,Fed3 Phase 2 Current,
Fed3I3,A,Fed3 Phase 3 Current,
Fed3ImpE,kWh,Fed3 Import Energy,
Fed3ImpP,kW,Fed3 Import Active Power,
Fed3ImpQh,kvarh,Fed3 Import Reactive Power Hours,
Fed3ImpS,kVA,Fed3 Import Apparent Power,
Fed3ImpSh,kVAh,Fed3 Import Apparent Power Hours,
Fed3P,kW,Fed3 Active Power,
Fed3Pf,pf,Fed3 Power Factor,
Fed3Qh,kvarh,Fed3 Reactive Power Hours,
Fed3S,kVA,Fed3 Apparent Power,
Fed3Sh,kVAh,Fed3 Apparent Power Hours,
Fed3U,V,Fed3 Average Phase to Phase Voltage,
Fed3U12,V,Fed3 Phase 1 to 2 Voltage,
Fed3U1n,V,Fed3 Phase 1 to N Voltage,
Fed3U23,V,Fed3 Phase 2 to 3 Voltage,
Fed3U2n,V,Fed3 Phase 2 to N Voltage,
Fed3U31,V,Fed3 Phase 3 to 1 Voltage,
Fed3U3n,V,Fed3 Phase 3 to N Voltage,
Fed3Un,V,Fed3 Average Phase to Neutral Voltage,
Fed4E,kWh,Fed4 Energy,
Fed4ExpE,kWh,Fed4 Export Energy,
Fed4ExpP,kW,Fed4 Export Active Power,
Fed4ExpQh,kvarh,Fed4 Export Reactive Power Hours,
Fed4ExpS,kVA,Fed4 Export Apparent Power,
Fed4ExpSh,kVAh,Fed4 Export Apparent Power Hours,
Fed4I2,A,Fed4 Phase 2 Current,
Fed4I3,A,Fed4 Phase 3 Current,
Fed4ImpE,kWh,Fed4 Import Energy,
Fed4ImpP,kW,Fed4 Import Active Power,
Fed4ImpQh,kvarh,Fed4 Import Reactive Power Hours,
Fed4ImpS,kVA,Fed4 Import Apparent Power,
Fed4ImpSh,kVAh,Fed4 Import Apparent Power Hours,
Fed4P,kW,Fed4 Active Power,
Fed4Pf,pf,Fed4 Power Factor,
Fed4Qh,kvarh,Fed4 Reactive Power Hours,
Fed4S,kVA,Fed4 Apparent Power,
Fed4Sh,kVAh,Fed4 Apparent Power Hours,
Fed4U,V,Fed4 Average Phase to Phase Voltage,
Fed4U12,V,Fed4 Phase 1 to 2 Voltage,
Fed4U1n,V,Fed4 Phase 1 to N Voltage,
Fed4U23,V,Fed4 Phase 2 to 3 Voltage,
Fed4U2n,V,Fed4 Phase 2 to N Voltage,
Fed4U31,V,Fed4 Phase 3 to 1 Voltage,
Fed4U3n,V,Fed4 Phase 3 to N Voltage,
Fed4Un,V,Fed4 Average Phase to Neutral Voltage,
FedE,kWh,Feeder Energy,
FedExpE,kWh,Feeder Export Energy,
FedExpP,kW,Feeder Export Active Power,
FedExpQh,kvarh,Feeder Export Reactive Power Hours,
FedExpS,kVA,Feeder Export Apparent Power,
FedExpSh,kVAh,Feeder Export Apparent Power Hours,
FedI2,A,Feeder Phase 2 Current,
FedI3,A,Feeder Phase 3 Current,
FedImpE,kWh,Feeder Import Energy,
FedImpP,kW,Feeder Import Active Power,
FedImpQh,kvarh,Feeder Import Reactive Power Hours,
FedImpS,kVA,Feeder Import Apparent Power,
FedImpSh,kVAh,Feeder Import Apparent Power Hours,
FedP,kW,Feeder Active Power,
FedPf,pf,Feeder Power Factor,
FedQh,kvarh,Feeder Reactive Power Hours,
FedS,kVA,Feeder Apparent Power,
FedSh,kVAh,Feeder Apparent Power Hours,
FedU,V,Feeder Average Phase to Phase Voltage,
FedU12,V,Feeder Phase 1 to 2 Voltage,
FedU1n,V,Feeder Phase 1 to N Voltage,
FedU23,V,Feeder Phase 2 to 3 Voltage,
FedU2n,V,Feeder Phase 2 to N Voltage,
FedU31,V,Feeder Phase 3 to 1 Voltage,
FedU3n,V,Feeder Phase 3 to N Voltage,
FedUn,V,Feeder Average Phase to Neutral Voltage,
